Violentos;Alerta;Pob;Morad;Urbano;Ingreso;Pobreza;Cesantia;Divorcio;Hsol;Inmig;NIng;Sobrep;Area;Dens;Transp
18297;Alto;122899;3,84;100;18395;37,29;11,24;8,73;2,8;9,68;21,64;18,23;34,1;3608,7;3,55
4462;Alto;20714;2,36;0;22166;13,5;8,97;10,7;3,28;1,53;2,49;2,62;6,2;3353,7;2,6
1804;Bajo;11856;3,03;33,1;36618;4,05;5,73;9,06;0,72;0,49;0,24;2,78;52,5;225,9;0,88
3182;Bajo;19050;2,67;0;34372;8,87;5,13;11,89;1,06;0,05;0,61;3,73;19,1;998,4;5,76
3186;Bajo;11961;2,71;0;27230;12,63;10,34;14,31;2,51;3,08;3,08;4,07;4,2;2853,3;0
3059;Bajo;15655;2,6;0;18499;24,07;7,91;14,13;9,53;0,43;0,68;4,4;7,3;2134;0,11
4044;Bajo;23302;4,17;100;51594;5,34;5,1;9,94;3,46;2,38;2,25;8,94;14,2;1641,4;0,27
6658;Alto;45226;2,95;0;18060;31,96;12,45;13,52;12,32;0,25;0,21;8,31;27;1672,6;0,24
6142;Alto;26167;2,37;100;54658;2,73;2,43;11,26;0,58;3,19;1,64;1,48;5,8;4486,8;3,98
12323;Alto;84474;2,76;100;23534;18,5;7,71;12,12;1,9;1,6;3,89;4;49,6;1702,6;0,68
5466;Alto;27623;2,49;100;21688;16,93;8,67;12,63;4,37;0,13;0,45;2,74;7,9;3513,5;1,91
11498;Alto;71166;2,87;100;21962;26,67;14,4;17,89;12,73;0,76;1,35;6,52;20,7;3434,7;0,9
6980;Alto;52141;2,82;74,94;26125;17,28;7,06;11;8,21;0,32;0,31;4,99;414,5;125,8;1,63
2763;Bajo;16162;2,36;0;22446;15,61;5,68;13,39;7,8;0,4;0,51;2,76;11,4;1423,7;0
10485;Alto;66473;2,66;100;38742;3,74;5,55;7,69;1,03;0,79;0,85;3,08;27,2;2441;1,75
4244;Bajo;23170;2,09;100;53419;6,14;1,84;16,9;0,3;3,56;2,03;1,37;9;2575,6;1,97
1863;Bajo;12849;3,59;0;16180;37,04;12,26;10,59;3,45;1,05;14,64;15,67;9,6;1345,2;1,23
10095;Alto;63891;2,64;100;31103;7,07;5,13;11,33;2,5;0,93;0,95;3,49;25,2;2539;0,59
3082;Bajo;15440;2,86;0;36091;5;5,18;9,66;1,42;0,34;0,61;3,17;9,4;1641,9;1,69
2773;Bajo;18540;2,49;0;19985;18,82;7,01;12,75;0,67;0;0,28;1,67;30,1;616,9;0,23
6909;Alto;31971;2,2;100;54348;6,6;3,8;12,23;1,04;14,54;4,86;2,25;5,9;5437,2;4,31
6025;Alto;14790;2,87;100;43376;2,9;4,65;6,2;2,22;2,13;0,8;2,43;1,9;7812,2;5,81
6574;Alto;34075;2,59;0;22439;16,85;10,98;14,6;2,97;0,24;0,24;3,24;8,3;4102,3;1,01
48353;Alto;332943;2,54;100;24819;19,09;9,92;13,62;6;1,03;0,8;3,65;83,5;3988,5;3
227640;Alto;1585577;2,63;100;24603;20,27;9,62;12,53;11,53;2,81;2,63;5,42;140;11326;29,31
13580;Alto;82585;2,8;100;59719;4,33;3,94;6,41;0,7;4,16;1,63;2,87;18,7;4413;12,27
4648;Alto;29721;2,34;100;32704;6,72;4,21;10,31;1,18;0,83;0,7;1,41;26,1;1137,7;0,77
9618;Alto;66049;2,63;100;23726;16,45;5,97;11,25;5,88;0,85;0,35;2,64;51,2;1290,5;3,33
3515;Bajo;21847;2,92;100;36770;9,48;3,37;9,11;3,9;1,04;0,35;3,04;24,7;885,5;0,24
4329;Bajo;26184;2,49;100;19433;19,89;7,46;12,75;7,89;0,16;0,44;3,37;12,8;2042,4;0,88
15325;Alto;101484;2,83;100;35934;7,73;4,74;13,21;1,78;2,08;1,19;3,62;44,4;2286,9;1,22
5853;Alto;24656;2,7;100;36995;4,89;4,94;12,71;3,72;0,73;0,67;3,55;5,1;4826,9;11,71
2499;Bajo;12727;2,49;100;23056;11,12;6,85;10,14;1,89;0,09;0,47;2,14;10,2;1249,9;0,19
5570;Alto;33626;2,88;100;49143;3,51;3,13;5,81;0,32;1,03;0,49;2,72;26,7;1260,7;0,34
3347;Bajo;22430;2,67;0;31235;8,06;6,42;10,46;1,74;0,8;0,52;1,94;38,6;580,3;0,03
1943;Bajo;13352;2,82;73,6;32713;8,79;5,41;8,48;1,16;0,11;0,48;2,66;36,1;369,6;0,2
5849;Alto;10637;2,16;100;23773;12,53;6,62;11,16;2,99;0,48;0,35;1,89;1,2;8564,4;16,83
23804;Alto;165121;2,36;100;19923;20,8;7,11;14,23;4,81;1,23;0,48;1,86;80;2063,3;1,93
2210;Bajo;10836;2,28;0;25649;8,46;5,99;15,37;2,38;0,98;0,81;0,95;7,5;1451;0
13482;Alto;86335;2,5;100;41736;3,7;3,28;9,4;1,27;1,6;0,71;1,97;36,8;2345,2;3,14
3874;Bajo;21160;2,79;100;58194;1,49;3,75;6,47;0,67;3,67;1,53;3,21;9,4;2250,1;7,6
5009;Alto;29208;2,6;100;45481;1,79;3,44;8,57;0,85;2,02;2,51;2,25;13,7;2139,7;1,46
2248;Bajo;12839;2,46;0;20569;18,27;8,52;11,36;2,49;0,18;0,44;2,43;10,5;1227,9;0,55
12193;Alto;75058;3,86;100;43971;4,21;3,56;6,38;0,43;0,79;0,55;18,4;20,7;3625,3;2,34
9181;Alto;51464;2,9;100;52208;5,12;2,42;7,31;0,68;2,66;1,15;3,37;11,5;4486,1;9,74
3740;Bajo;22608;2,91;82,94;42549;4,36;6,2;10,75;2,64;0,24;0,23;3,6;34,8;648,8;0,18
2114;Bajo;14988;2,49;0;18357;23,15;9,5;13,15;2,65;0,42;0,29;2,46;14,2;1057,3;0
57659;Alto;405390;2,49;99,98;21748;20,16;8,12;14,15;4,29;4,74;4,14;3,82;161,9;2503,8;4,29
3490;Bajo;23330;2,94;64,02;41944;4,35;4,1;9,3;2,48;1,2;1;3,14;93,6;249,1;1,66
2082;Bajo;11967;2,62;0;19157;23,02;8,51;10,51;1,79;0,58;1,76;4,78;9;1329,7;0,58
4249;Bajo;25925;2,51;100;30591;6,68;5,12;12,53;1,69;1,23;0,8;1,8;16,2;1602,6;0,99
3302;Bajo;10466;2,76;100;37683;8,02;7,31;12,32;2,85;1,27;1,02;5,1;3,1;3397,6;8,66
4237;Bajo;17118;2,29;100;34644;4,13;3,05;7,8;0,77;0,72;0,48;1,12;4,1;4180,8;11,76
2575;Bajo;17668;2,52;70,5;34639;9,33;3,78;11,31;5,53;4,09;0,93;2,15;29,1;606,6;2,48
6489;Alto;35748;2,86;100;41028;3,78;4,57;11,2;1,81;1,28;0,56;3,42;11,7;3057,5;0,89
1841;Bajo;11290;2,46;0;23744;14,35;4,48;10,57;2,12;0,19;0,13;2,18;10,3;1098,7;0,63
3147;Bajo;11439;2,7;100;62420;2,45;2,71;5,8;0,38;3,58;1,23;2,45;3,8;3001,1;7,98
6217;Alto;40949;2,47;83,39;33411;6,78;7,22;10,93;1,87;1,76;1,06;2,43;62,2;658,2;1,18
5713;Alto;17790;2,66;100;46499;3,68;4,17;7,38;1,33;5,61;3,21;3,55;2,9;6118,4;18,82
62555;Alto;437319;2,34;100;25592;14,53;6,16;16,07;3,97;3,86;2,17;2,88;129,1;3386,2;11,41
5040;Alto;27957;2,95;100;46674;3,79;3,3;11;2,8;4,48;2,59;4,66;10,4;2695,4;1
21788;Alto;133107;2,53;100;47204;5,15;3,95;11,64;1,37;11,36;5,83;2,82;21,3;6260,9;1,53
2030;Bajo;12220;4,32;100;43804;3,21;3,21;4,1;0,44;0,06;0,84;29,55;20,9;585,8;1,27
10654;Alto;66072;2,59;100;42962;8,3;3,82;13,43;3,48;12,25;7,86;4,67;19,7;3349,1;3,85
2778;Bajo;13187;2,47;97,79;35855;6,27;3,31;9,55;1,77;1,99;0,76;1,89;6,3;2104,5;1,68
2901;Bajo;11663;3,01;100;53665;1,65;2,29;6,16;0,48;0,76;0,26;3,33;5,4;2148,7;3,2
1742;Bajo;10205;2,46;0;26654;6,77;5,66;9,08;1,68;0,95;0,44;1,91;13;785,2;0
8576;Alto;49425;2,67;100;25456;14,48;5,08;8,28;1,95;1,22;0,3;2,32;15;3304,7;0,95
21441;Alto;130474;2,66;100;25811;21,29;9,25;12,44;15,07;3,79;3,93;4,13;19,5;6679,9;9,54
2892;Bajo;11218;2,66;100;18095;23,81;8,37;14,97;4,92;1,07;1,1;4,34;3,3;3399,4;1,19
5955;Alto;23930;2,87;100;36724;4,93;6,76;11,36;3,18;0,66;0,83;4,7;4,7;5104,5;12,33
3981;Bajo;19949;2,76;100;48483;1,27;2,81;5,14;0,31;0,85;1,26;3,03;7,8;2553,6;4,44
1859;Bajo;10542;2,67;0;19063;25,22;9,13;10,44;10,7;0,39;0,23;4,18;6,5;1633,9;0
6622;Alto;34989;2,57;100;29576;6,07;5,64;8,45;1,7;0,41;0,57;2,57;10,5;3344;0,62
9703;Alto;60394;2,75;100;37073;8,98;4,78;12,03;2,24;4,98;3,07;4,45;25,2;2398,1;0,37
2214;Bajo;16169;3,29;0;24292;28,22;11,09;12,74;5,48;4,27;8,21;10,8;22,9;705,2;0,71
2924;Bajo;14548;2,7;0;34182;8,43;3,93;14,83;1,17;2,85;1,99;3,36;7,1;2035,3;2,24
9193;Alto;55006;2,62;100;25168;12,63;4,82;9,2;1,67;1,19;0,57;2,19;18,6;2959,7;1,89
2154;Bajo;11874;2,11;100;30141;9,33;4,77;19,11;2,95;3,66;1,58;1,79;8,5;1404,9;8,04
4456;Alto;23229;3,42;100;53710;4,23;3,52;13,69;6,51;2,7;1,48;4,13;8,9;2618,2;2,12
6010;Alto;32873;2,69;100;51253;3,55;3,31;10,85;1,23;4,98;3,36;4,16;10,3;3178;0,75
2433;Bajo;15351;2,45;100;32877;9,28;3,62;12,39;5,59;0,35;0,15;2,07;17;904,5;0,16
18027;Alto;124773;2,47;100;23453;22,32;5,56;11,51;7,88;2,34;0,85;1,92;65,6;1903,4;2,82
4687;Alto;12016;3,68;0;43092;9,64;3,21;5,92;2,58;10,15;2,43;2,17;1,9;6306,9;5,17
2090;Bajo;13547;3,13;0;21392;28,82;7,56;5,29;2,52;1,88;0,85;3,93;11,7;1161,2;0,22
2056;Bajo;10130;2,56;0;23642;11,86;5,25;13,78;0,82;0,68;0,25;2,73;5,3;1925,9;0,09
1927;Bajo;13002;2,47;98,55;44335;3,73;2,63;12,84;1,15;2,58;1,21;1,41;19,7;659,9;1,14
2934;Bajo;17825;2,82;44,04;48889;2,43;2,94;8,64;0,58;0,4;0,85;3,08;42,2;422,4;2,22
3485;Bajo;23006;2,79;0;22194;21,61;5,96;6,76;1,76;2,72;1,24;3,04;13,9;1660,1;0,56
7627;Alto;39802;2,8;0;31671;9,59;7,85;13,1;2,55;3,91;5,43;4,78;9,5;4187,9;0,6
5876;Alto;31287;2,71;100;49900;2,67;3,08;8,91;2,71;6,41;3,33;2,48;12,5;2508,1;8,09
11234;Alto;70487;2,59;100;21407;20,87;8,74;14,39;5;0,29;0,28;3,37;20,2;3485,1;1,06
7388;Alto;35710;2,3;100;32405;5,55;3,61;10,51;1,93;2,06;0,73;1,77;7,1;5009,5;6,04
3616;Bajo;22911;2,67;0;21238;21,04;8,15;12,16;3,57;2,69;1,78;4,25;21,6;1062,7;0,19
2555;Bajo;12127;2,58;0;25141;11,79;6,72;12,13;1,45;0,26;0,55;2,7;5,5;2204,9;0,35
3629;Bajo;22191;2,58;0;27148;12,69;5,93;11,46;2,05;1,14;0,19;2,38;12,2;1813,5;0,91
491135;Alto;3485398;2,86;100;30925;18,86;8,34;12,26;9,32;21,64;17,45;9,19;486,2;7168,1;10,92
7011;Alto;13425;2,76;100;33969;11,55;7,53;8,63;3,52;19,59;16,23;4,51;1,3;10587,5;17,27
2685;Bajo;15411;2,93;65,76;40117;4,92;4,6;6,44;0,99;0,88;1,46;4,09;23,9;644,9;0,39
3866;Bajo;27134;2,47;100;20905;17,1;9,73;12,05;2,57;0,45;0,52;2,05;38,3;709;1,77
4280;Bajo;22902;2,72;0;29088;15,39;7,38;11,28;4,38;0,91;0,85;3,5;9,3;2458,4;0,5
2744;Bajo;18749;2,9;69,9;35575;4,1;4,98;10,18;1,54;0,41;0,17;4,25;46,7;401,2;1
7252;Alto;38901;3,66;100;28655;12,22;4,37;10,62;5,13;9,95;5,54;8,13;9,1;4254,3;3,56
4755;Alto;29202;2,66;99,89;48901;4,24;3,09;12,29;0,76;1,23;1,01;2,17;32,4;901,6;0,28
9828;Alto;69101;2,67;100;22059;22,42;4,91;8,97;5,69;4,31;1,57;1,83;45,9;1504,7;1,29
2436;Bajo;10950;2,53;0;20711;18,76;10,38;13,43;3,62;0,1;0,26;3,39;5;2193,5;0,25
6906;Alto;18041;2,95;100;31262;17,07;5,7;9,33;8,18;0,75;1,28;3,39;1,9;9469,3;2,39
2979;Bajo;13800;2,54;100;36864;5,14;4,16;10,45;3,29;4,76;2,19;2,28;6,1;2251,7;2,34
5797;Alto;33862;2,34;100;20461;18,99;8,01;13,17;2,6;0,13;0,44;2;11,6;2926,2;0,9
26182;Alto;177196;2,36;100;22192;17,34;8,12;15,82;3;1,15;0,85;2,52;57,9;3058,9;4,41
2960;Bajo;12430;2,7;0;22996;18,78;6,45;10,88;2,27;0,84;1,31;2,26;4,9;2561,8;1,38
2835;Bajo;16565;2,38;0;21762;18,3;10,96;15,23;3,63;1,17;0,56;2,7;11;1510,9;3,12
6372;Alto;41943;3,29;100;21221;20,71;5,4;10,37;6,65;0,62;0,48;4,8;23,6;1780;0,62
2417;Bajo;16230;3,05;1,86;37156;5,55;6,21;7,39;1,53;0,11;0,74;3,69;57,6;281,9;0,43
17077;Alto;109592;2,63;100;33344;16,08;3,81;8,09;2,58;6,2;1,41;2,59;26,8;4085;5,7
4340;Bajo;29603;2,75;0;43419;3,79;5,47;10,46;1,01;0,84;0,57;2,69;37,1;798,4;0,54
2812;Bajo;13024;2,25;100;23269;20,64;8,89;16,77;8,51;5,14;2,64;2,64;5,3;2442,6;2,28
2999;Bajo;12233;2,44;0;23684;13,85;5,19;11,74;0,74;0,17;0,17;2,48;4,8;2570;0,1
3437;Bajo;15128;2,71;100;44735;2,32;2,38;6,88;0,64;0,43;0,61;2,49;5,8;2608,5;3,03
29844;Alto;58012;2,81;100;25655;18,18;10,87;14,53;8,03;26,24;30,91;6,05;1,3;44229,9;27,8
7415;Alto;28176;2,51;100;60462;2,95;3,4;11,7;0,84;9,64;3,38;2,48;3,9;7232;3,93
21282;Alto;140761;2,61;100;20176;30,58;18,29;17,92;12,65;0,21;0,64;4,58;35,1;4015,8;2,43
9311;Alto;41711;3,28;100;28289;21,96;8,85;8,74;12,96;10,58;7,03;6,86;5,4;7709,4;12,35
4919;Alto;30495;2,86;100;19397;26,41;8,38;11,92;5,69;0,21;1,04;6;14;2172;0,18
7437;Alto;23451;3,37;100;29206;17,55;10,6;14,87;10,41;18,57;14,8;15,6;2,6;8883;8,38
2716;Bajo;16392;3,11;100;70287;1,39;3,1;4,82;0,45;1,23;0,44;3,01;30,1;544,6;0,45
4441;Alto;30159;2,85;99,49;45043;4,92;3,09;10,54;0,98;2,89;2,02;3,4;53,3;566,3;1,2
5594;Alto;31828;2,86;0;18506;28,67;13,03;12,05;7,04;1,5;1,77;6,48;10,5;3024,3;0,29
3465;Bajo;15080;2,93;100;44083;3,15;3,4;7,02;0,81;0,17;0,39;4,29;5,9;2534,6;1,82
4242;Bajo;12649;2,75;100;28998;9,18;5,92;12,07;3,68;0,11;0,42;5,46;2,3;5549,8;3,17
5571;Alto;30533;2,63;100;36972;2,95;3,8;5,69;0,41;0,62;0,32;2,39;11,5;2653,4;6,1
3338;Bajo;18828;2,83;100;34179;5,38;5,69;11,17;0,72;0,04;0,38;3,48;11,7;1615,9;0,79
1656;Bajo;12697;2,99;47,15;31617;8,41;5,71;10,01;1,33;0,07;0,08;4,19;35,7;355,3;0,78
9815;Alto;41856;2,88;100;20864;25,16;12,4;14,44;17,78;0,55;0,94;6,89;5;8345,8;12,81
1768;Bajo;10513;2,44;0;20745;17,18;7,56;11,41;3,79;0,08;0,33;2,18;9,1;1158,3;0
40041;Alto;280015;2,44;100;22772;19,44;6,54;16,66;7,25;2,84;3,17;3,13;112,6;2487,1;3,3
142147;Alto;1006877;2,5;100;27489;17,97;7,43;15,58;7,28;7,27;6,13;5,42;354,7;2838,4;6,68
2199;Bajo;15180;2,9;0;20859;17,5;5,51;8,35;1,2;0,96;0,53;1,56;14,1;1076;0,49
8125;Alto;52179;2,46;100;24714;16,68;4,73;11,97;2,3;2,59;1,45;1,91;22,8;2287,7;3,14
3120;Bajo;21951;2,49;0;24814;12,8;6,64;15,61;0,97;1,14;0,94;2,43;44,6;491,9;1,02
9105;Alto;38793;2,4;100;42971;6,68;4,13;14,22;3,27;9,19;5,4;3,09;5,3;7336;4,33
3040;Bajo;13086;2,88;0;26974;10,71;4,35;11,49;1,06;2,03;1,64;4,01;4,3;3015,2;0,68
14420;Alto;78380;2,5;100;22112;19,41;8,63;14,07;8,86;2,01;5,07;4,2;10,1;7732,5;7,29
2751;Bajo;20027;2,89;0;17826;30,26;10,69;7,37;8,68;2,1;0,78;3,26;17,9;1118,3;0,28
13484;Alto;87425;2,67;100;32165;16,1;9,43;16,07;7,61;7,77;5;5,77;30,8;2838,8;13,14
6322;Alto;39990;2,73;95,02;37701;7,2;7,65;7,94;2,15;1,83;2,85;3,97;23,2;1722,8;1,8
9556;Alto;51206;2,67;100;36809;3,29;3,5;9,17;1,26;0,32;0,38;2,76;10,6;4843,5;1,02
2609;Bajo;12287;2,77;100;29661;7,44;4,1;9,98;1,29;0,06;0,36;2,62;7,3;1674,9;0,05
2506;Bajo;12822;3,2;0;14994;43,13;19,22;10,6;5;12,9;18,63;11,49;4,9;2616,7;0,17
3623;Bajo;23755;2,72;0;15917;35,71;10,89;13,35;13,18;0,48;0,51;5,88;14,4;1647,8;0,29
1820;Bajo;11475;2,8;100;34198;5,4;5,33;7,42;0,52;0,23;0,9;3,51;20,8;552,6;0,27
4511;Alto;28653;3,45;100;17489;37,33;12,14;7,43;1,85;7,69;18,2;14,03;14,4;1990,9;0,42
2174;Bajo;14771;2,76;0;30524;7,99;7,94;10,19;4,4;1,31;0,48;4,04;73,8;200;1,23
4924;Alto;30270;2,56;93,19;50843;1,99;2,55;9,21;0,56;1,16;0,44;2,37;22,6;1339,6;3,5
9071;Alto;60536;2,67;99,71;23462;19,46;5,67;11,09;2,67;2,51;3,06;3,36;29,4;2057,1;0,67
16581;Alto;96357;2,57;100;40313;9,17;4,17;15;3,12;12,58;8,08;5,1;16,1;5980,4;3,03
3078;Bajo;11676;2,84;100;45171;4,38;4,24;13,42;2,07;4,21;1,42;3,99;4,2;2798,7;0,15
5253;Alto;16390;3,17;100;64338;3,03;3,64;6,55;1,38;3,39;1,27;4,77;3;5529,7;14,68
2317;Bajo;12363;2,57;0;19474;20,41;9,88;16,23;3,38;2,43;2,75;3,37;7,5;1641,4;0
2661;Bajo;10433;2,51;0;34466;4,59;2,43;10,8;0,66;0,21;0,4;1,71;3,9;2705,7;0,11
3398;Bajo;19027;2,55;100;26614;12,29;3,32;12,93;6,71;1,6;1,04;2,47;10,9;1746,9;2,15
2252;Bajo;12724;3,11;100;77530;1,25;3,12;5,15;0,38;1,45;0,52;3,57;13,6;937;0,27
8443;Alto;47564;3,04;100;38532;10,79;7;12,46;5,04;9,64;6,29;7,74;11,3;4222,7;4,53
12039;Alto;72820;2,89;100;61058;1,96;2,9;8,93;0,63;4,79;1,73;3,75;18,1;4027,7;0,62
64197;Alto;429433;2,7;100;31938;16,82;6,54;13,78;7,4;14,81;9,81;7,18;51,8;8287,7;6,3
12463;Alto;85493;2,47;100;23370;16,57;7,22;10,8;2,84;0,58;0,51;2,09;70;1220,6;5,85
2426;Bajo;14669;2,41;0;19829;19,27;8,57;14,2;9,56;0,46;0,89;2,89;9,1;1612,7;0
11978;Alto;76095;3,18;100;43555;8,31;5,76;9,9;2,97;9,77;8,33;8,44;29,5;2579,1;0,73
6638;Alto;38195;2,58;100;39603;6,62;5,42;9,33;1,54;1,2;0,71;2,16;16;2388;5,14
12831;Alto;79443;2,94;100;43428;5,16;3,85;9,68;1,66;4,88;1,82;3,18;24,3;3265;0,78
2182;Bajo;12996;2,9;79,22;50798;2,05;2,81;6,47;0,5;0,12;0,55;3,48;25,8;503,3;0,24
3589;Bajo;24093;2,74;84,64;30160;13,77;11,36;12,9;3,74;0,25;0,32;3,42;30,5;791,2;0,51
8115;Alto;38961;2,66;100;42019;4,77;4,12;11,65;2,08;9,3;4,76;4,07;6,7;5846,5;6,3
6188;Alto;39806;2,81;0;21864;23,83;7,67;12,97;8,59;0,68;0,5;4,44;27,4;1451,1;0,04
62259;Alto;444719;2,49;98,74;25741;15,86;7,06;15,53;4,42;2,2;1,45;3,24;630;705,8;0,89
1890;Bajo;10886;2,88;0;21946;20,44;9,97;11,21;2,11;4,14;5,62;6,13;6,6;1642,4;0,24
3438;Bajo;19788;3,11;0;18962;28,5;9,97;10,33;1,73;0,5;9,11;8,04;12,1;1631,1;0,24
2312;Bajo;10362;2,4;0;20189;16,91;4,52;11,07;1,85;0,71;0,66;2,36;5,6;1853;0,4
5292;Alto;26540;3,62;100;47790;4,07;1,71;9,8;0,49;4,31;1,29;2,02;8;3324,1;6,26
6221;Alto;38142;2,59;99,52;22610;18,1;7,4;14,75;2,88;1,95;0,74;2,81;20,6;1851,6;7,79
7981;Alto;54523;2,58;100;25740;13,65;5,21;11,54;2,62;0,83;0,58;3,14;36,6;1489,4;0,46
6349;Alto;15392;3,2;100;54364;5,89;2,5;8,12;0,88;11,87;6,41;5,92;1,9;8169,9;0,67
6942;Alto;37093;2,78;100;59020;1,71;2,42;6,45;0,48;3,15;1,99;2,97;12,4;2996,2;9,71
3772;Bajo;12743;3,41;0;22032;22,58;14,95;8,21;3,93;10,16;16,08;12,75;2,8;4583,8;0
3631;Bajo;16444;2,57;100;37156;6,67;2,92;11,42;1,34;2,94;1,44;1,8;5,1;3209,2;0,84
3472;Bajo;20469;2,4;0;25787;13,15;4,24;15,17;1,86;0,39;0,36;1,98;13,9;1470,9;0,4
2651;Bajo;17199;2,71;90,8;70000;1,52;2,86;7,89;0,27;2,14;1;1,92;24,9;691,9;5,87
7231;Alto;46080;2,68;100;24955;15,34;6,09;11,55;1,23;0,74;0,28;5,8;28,6;1610,3;3,05
2116;Bajo;11804;2,28;0;16600;22,15;12,8;17,75;2,34;0,53;0,19;2,86;10,7;1101,9;0,57
6333;Alto;40775;2,58;100;21174;20,32;7,69;16,27;5,55;0,74;0,41;3,36;23,4;1740,1;0,2
3652;Bajo;17648;2,65;0;25385;14,66;10,08;13,26;3,22;0,27;1,03;3,97;6,4;2753,9;0,53
5687;Alto;37819;2,57;0;39087;9,26;4,97;8,53;1,01;1,88;0,4;2,18;28,2;1341,7;0,29
2719;Bajo;18827;2,59;0;16997;30,18;9,03;13,13;9,97;0,16;0,34;5,6;15,9;1180,5;0
16936;Alto;67153;2,67;100;34850;11,8;7,41;11,96;9,55;9,76;4,15;5,7;4,5;14786,2;25,7
5756;Alto;30601;2,41;100;32002;4,78;3,91;11,53;1,26;0,1;0,34;1,76;10,3;2981,4;0,96
2469;Bajo;16609;3,11;0;14509;39,79;14,52;11,04;12,57;0,33;0,34;5,66;10,5;1585,4;0
1923;Bajo;10453;2,62;0;27095;8,65;1,93;13,33;0,94;0,36;0,25;2,15;9,6;1087,9;0,14
3679;Bajo;24699;2,52;0;18743;25,43;8,5;13,34;4,92;1,06;0,46;2,91;28,2;876,6;0
4696;Alto;17084;2,5;100;43109;3,42;3,95;7,51;0,41;2,42;2,28;2,47;3,5;4854,5;3,69
4958;Alto;30544;2,84;100;45550;3,98;4,11;10,56;1,81;0,85;0,64;3,03;22,4;1365,5;0,78
